2021-10-25,cs156,cs156,cs156,cs156,cs156,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,ex,ex,ex,pw,ml,ml,cs156,tv,tv,tv,tv,www,rt,rt,rt,ml,www,www,ma6,soc,ma6,ma6,soc,soc,soc,soc,ln
2021-10-26,ln,pw,ln,www,www,ln,ma6,ma6,ma6,ma6,ma6,sl,sl,sl,sl,sl,sl,sl,br,ma6,ma6,en100,en100,en100,soc,ml,ml,soc,soc,sl,sl,sl,sl,sl,sl,sl,sl,ml,pw,br,br,pw,pw,cl,ln,soc,soc,soc
2021-10-27,soc,soc,soc,soc,br,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,ex,ex,ex,pw,ml,ml,ml,ex,ex,sl,sl,sl,ml,soc,soc,ee111,ee111,soc,ml,www,ee111,ee111,ee111,ee111,ee111,ee111,ee111
2021-10-28,ex,soc,en100,www,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,br,en100,en100,en100,pw,ml,ml,www,cs156,sl,sl,sl,www,rt,rt,rt,soc,pw,sk8,sk8,sk8,sk8,pw,ml,ml,pw,soc,soc
2021-10-29,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,soc,soc,mc,mc,ml,ml,br,pw,pw,pw,pw,tv,pa,pa,me13,ap,sk8,soc,ml,soc,ee111,ee111,sl,sl,soc,soc
2021-10-30,soc,soc,soc,soc,soc,soc,soc,soc,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,br,br,ml,sl,sl,soc,sl,sl,sl,sl,sl,sl,soc,ml,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc
2021-10-31,soc,soc,soc,soc,soc,soc,ex,ex,ex,ex,ex,ex,br,www,sl,sl,sl,sl,sl,sl,sl,sl,br,soc,soc,ml,ml,ee111,ee111,sl,sl,sl,ma6,ma6,ma6,ma6,cl,cl,en100,ml,ml,ml,ml,ap,cs156,ex,ex,ex
2021-11-01,soc,cs156,soc,soc,soc,cs156,cs156,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,cs156,br,ex,ex,ex,pw,ml,ap,www,sl,sl,sl,sl,sl,rt,rt,rt,ml,ml,br,www,ma6,ma6,ma6,ma6,ma6,ma6,soc,soc
2021-11-02,br,tv,tv,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,en100,en100,en100,pw,ml,www,www,ee111,ee111,ee111,ee111,pw,pw,ml,ml,ee111,ee111,ee111,ee111,soc,soc,ee111,ee111,ee111,ee111,ee111,soc
2021-11-03,pa,soc,soc,soc,br,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,br,ml,ex,ex,ex,soc,ml,ml,tv,tv,tv,me13,br,sl,sl,sl,sl,www,www,soc,ml,ml,cs156,www,www,www,www,br,br
2021-11-04,soc,soc,soc,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,en100,en100,en100,me13,ml,ml,www,mc,mc,mc,pw,pw,www,www,www,www,me13,ml,ml,me13,me13,me13,me13,cs11,www,www,soc
2021-11-05,soc,soc,soc,soc,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,br,soc,ml,ml,pw,pw,pw,sl,sl,sk8,sk8,sk8,sk8,sk8,soc,ml,ml,soc,pw,www,www,soc,tv,tv
2021-11-06,soc,soc,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,en100,sl,sl,sl,sl,sl,sl,soc,soc,ml,ml,ml,pw,soc,sl,ap,www,ee111,ee111,soc,soc,soc,soc,ml,ee111,ma6,cs156
2021-11-07,cs156,tv,tv,soc,soc,soc,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,cs156,cs156,cs156,cs156,cs156,cs156,www,www,soc,soc,pw,ml,ml,pw,tv,tv,tv,tv,tv,ml,soc,ex,soc
2021-11-08,soc,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,ml,ex,ex,ex,br,ml,ml,soc,ex,ap,ap,ap,ap,ap,ap,www,ml,www,www,www,ex,ma6,ma6,ma6,sl,sl,ma6,www
2021-11-09,soc,ml,ma6,ma6,ee111,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,ma6,en100,en100,en100,ml,br,ee111,sl,sl,sl,sl,sl,www,www,www,www,ml,www,ee111,ee111,ee111,soc,br,tv,tv,soc,ml,soc
2021-11-10,br,tv,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,ml,ex,ex,ex,pw,ml,ml,pw,br,pw,www,me13,me13,me13,me13,www,www,ml,sk8,sk8,pw,pw,pw,pw,tv,ap,ap,tv
2021-11-11,br,tv,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,en100,en100,en100,soc,ml,sl,sl,sl,www,ap,ap,ap,ap,www,ml,www,www,www,www,www,en100,www,cs156,ml,ml,soc,soc
2021-11-12,soc,soc,soc,soc,soc,soc,soc,soc,cs156,br,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,mc,ml,ml,ml,br,cs156,pw,pw,pw,pw,ap,cl,cl,ml,tv,soc,sl,sl,sl,sl,sl,soc,soc,cs156
2021-11-13,soc,soc,soc,soc,soc,soc,soc,br,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,ml,sl,br,me13,br,www,www,me13,me13,me13,me13,cl,www,www,www,www,pw,pw,pw,pw,pw,pw,pa,pa,pa,pa,pa
2021-11-14,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pa,pw,pw,pw,pw,pw,pw,soc,soc,soc,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,soc,ml,ml,soc,ex,soc,tv,cs156,cs156,sl,sl
2021-11-15,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,cs156,cs156,cs156,ml,ex,ex,ex,cs156,ml,ml,cs156,www,sl,sl,sl,br,rt,rt,rt,rt,ml,www,www,www,ma6,ma6,ma6,ma6,en100,ee111,sl
2021-11-16,soc,tv,tv,www,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,en100,en100,en100,tv,ml,www,www,www,www,www,sk8,en100,pw,www,pw,ml,ee111,ee111,ee111,ee111,ee111,ee111,ee111,ee111,www,br,www
2021-11-17,www,www,www,www,tv,tv,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,ex,ex,ex,soc,ex,tv,www,ml,pw,ap,ap,ap,ap,pw,ml,tv,br,pw,www,www,soc,soc,soc,www,www,www,soc
2021-11-18,soc,soc,soc,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,pw,pw,soc,ml,cs156,en100,en100,en100,www,sl,ml,ml,ex,sl,sl,pw,sl,sl,sl,sl,soc,ml,tv,tv,tv,br,ml,soc,tv,ma6,soc,ma6
2021-11-19,ma6,www,www,ma6,ma6,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,ma6,ma6,ma6,www,soc,ml,ml,pw,soc,soc,pw,pw,www,ap,br,ml,ml,soc,soc,soc,soc,soc,soc,soc,soc,soc,soc
2021-11-20,soc,soc,soc,soc,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,soc,ap,ml,ml,tv,pw,tv,tv,sl,sl,sl,sl,soc,soc,soc,pw,cs11,en100,soc,soc,ml,ml,ml,soc,soc,soc,soc,soc
2021-11-21,soc,ex,soc,tv,soc,pw,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,sl,sl,sl,sl,ex,ml,ml,www,www,www,www,en100,pw,ml,ml,www,ap,en100,en100,soc,en100,www,en100,en100,ml
2021-11-22,soc,soc,www,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,sl,www,www,www,br,ex,ex,ex,ml,www,ap,www,me13,sl,sl,me13,me13,www,ml,ml,pw,pw,soc,soc,sl,sl,sl,sl,www,soc,tv,tv
